"Nom de la plateforme","Domaines d'activité","Description des expertises","Mots clés"
"EBIO","Biologie
Biomédical
Agro-alimentaire
Environnement
","La plateforme Bioinformatique eBio (http://ebio.u-psud.fr/), créée en décembre 2009, est au centre du dispositif de bioinformatique de l’Université Paris-Sud. Elle est associée aux services de bioinformatiques de l’INRA Moulon, de l’hôpital Paul Brousse et de Gustave Roussy. eBio est labellisée par IBISA/Reseau National des Plateformes Bioinformatiques (RENABI) et membre de l’Alliance des Plateformes Bioinformatiques d’Ile de France (APLIBIO).  Le site principal de eBio est localisé au bat 400 de l'Université Paris–Sud et intégré à l'I2BC (UMR9198, Gif sur Yvette).
Les missions d’eBio comprennent : (1) le soutien bioinformatique aux projets de recherche, (2) la mise à disposition de moyens de calcul et stockage, (3) le développement et la maintenance de serveurs web de bioinformatique et bases de données de génomique. La plateforme a accompagné ou hébergé plus de 50 projets de recherche depuis début 2010.
Les principaux domaines d’expertise de la plateforme sont les suivants :
-    L’analyse de données RNA-seq, notamment la detection de transcrits non codants, transcrits alternatifs, l’analyse d’expression différentielle, le ribosome profiling
-    L’analyse des structures d’ARN (alignement, structure secondaire)
-    L’intégration de logiciels et de workflows d’analyse sous Galaxy
-    L’assemblage des génomes de bactéries/champignons, la détection de variants
-    La phylogénie moléculaire et l’analyse fonctionnelle par profil phylogénétique
-    L’annotation des génomes de bactéries, archées et champignons (séquences CRISPR, terminateurs de transcription, ARN régulateurs, minisatellites)
-    Le calcul distribué et sur cloud (déploiement de services d’analyse sur cluster et cloud académique)","Méthodologie
Assemblage de génomes et transcriptomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Petits et longs ARN non-codants
Métagénomique, métatranscriptomique
Annotation de séquences
Recherche de motifs
Intégration d'outils
Développement de workflows
Bases de données et systèmes d’informations
Cluster
Cloud
"
"Institut Curie","Biomédical
Biologie
Biotechnologie
","The expertise of the platform is versatile on many aspects of high-throughput data management, processing, integration and statistical and functional analysis in biology and in clinics.
Many data types are treated:
Microarrays: expression, copy number, SNP, ChIP
NanoString
NGS: Exome-seq, targeted-seq, WGS, RNA-seq, smallRNA-seq, 5C, HiC, ChIP-seq …
RPPA,
Mass spectometry, classical and SILAC, SWATH
low-throughput biological data.
The expertise covers fundamental, translational and clinical research, including clinical trials.
In all these domain, the platform also develop appropriate methods, implement tools and automatic pipelines, and package and release them publicly or grant on-line access to the community.
Software optimisation for high-performance computing is also part of our know-how.
Finally the platform has developed an experience in training biologists, clinicians and bioinformaticians in all above-mentionned fields","Analyse de données de séquençage NGS
Biostatistiques
Développements technologiques de l‘Information et de la Communication
Génomique : Puces
"
"bilille","Informatique
Biologie
Biomédical
Environnement
","","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Génomique (DNA-seq)
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Panels (amplicons, captures)
Exomes
Analyse de la régulation de l’expression des gènes
Chip-seq
Petits et longs ARN non-codants
Métagénomique, métatranscriptomique
Analyse de séquences
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Bioinformatique structurale
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Développements technologiques de l‘Information et de la Communication
Outils
Intégration d'outils
Interopérabilité
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Evolution et phylogénie
Evolution moléculaire
Gènes et génomes
Génomique comparative
Comparaison des génomes
Génomique : Puces
Biopuces ADN
CGH
Biopuces ARN
Expression
Immunogénétique
Analyse de répertoires immunitaires
Immunoinformatique
Protéomique
Analyse différentielle statistique
"
"ABiMS","Environnement
Biologie
Agro-alimentaire
","ABiMS works with research team within the framework of scientific collaboration formalised as project.
ABiMS provide differents services :
A scientific computing environment (Infrastructure As A Service - IAAS)
Advice and expertise in 'omic data analysis
Software engineering (information system, databases, ...)
User support and training
","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Génomique (DNA-seq)
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Analyse de la régulation de l’expression des gènes
Métagénomique, métatranscriptomique
Curation de collections de données
Outils
Intégration d'outils
Interopérabilité
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Bases de données et systèmes d’informations
Environnements de calcul
Cluster
GPU
Evolution moléculaire
Gènes et génomes
Détection de sélection
Génomique comparative
Comparaison des génomes
Génomique : Puces
Biopuces ADN
Fonctionelles
Biopuces ARN
Expression
Métabolomique et fluxomique
"
"INCa-SLC","Biomédical
Biologie
","Cette structure a été créée à l'initiative de l'INCa dans le cadre de sa participation à l'""International  Cancer Genome Consortium"" (ICGC).
 
Elle a trois missions :
1 collecter ou préparer puis valider les acides nucléiques (ADN normal, ADN tumoral, ARN tumoral,...)  qui   seront   examinés   avec   les   techniques   de  la  génomique:   puce   de  génotypage,   puce d'expression, RNA-­seq, DNA-­‐eq en génomes complets et en éxomes),
2 assurer la liaison avec les centres de génomique (académiques  ou privés) réalisant le séquençage haut-­‐débit,
3 effectuer l'analyse des données de séquence transmises par ces centres de manière à en extraire l'information  (variants  somatiques  et  structuraux,  nombre  de  copie,  niveaux  d'expression  en RNA-­‐seq) utile aux équipes biomédicales.
 
Pour  remplir  sa  mission,  la  plateforme  a  développé  une  application  Internet  permettant  d'assurer  la gestion  de grands  projets  multicentriques  en toute  transparence  pour  les collaborateurs.  Elle  a mis en place  des  procédures  de  contrôle  qualité  des  échantillons  à  analyser.  Elle  dessine  et  automatise  des pipelines d'analyse pour les données de génomique qu'elle reçoit.","Analyse de données de séquençage NGS
Méthodologie
Alignements de lectures sur des génomes
Génomique (DNA-seq)
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Panels (amplicons, captures)
Exomes
Génomes complets
Analyse de la régulation de l’expression des gènes
Profils de méthylation
Biostatistiques
Génomique : Puces
Biopuces ADN
Génotypage
CGH
Biopuces ARN
Expression
"
"CBiB","Biomédical
Agro-alimentaire
Environnement
Biologie
","



L'objectif du Centre de Bioinformatique de Bordeaux (CBiB) est de concevoir, mettre en œuvre et fournir l’accès aux services d’analyse de données biologiques adaptés à une production à haut débit (ex., génomique, protéomique, métabolomique, etc.). Cette exigence d’analyser les données de grande volumétrie de façon rapide et fiable, amène le CBiB à développer les méthodes de type « Big Data ». Pour ce faire, le CBiB réunit les compétences nécessaires en bioinformatique et en informatique ; le centre est équipé de moyens de calculs et stockage adaptés, en cohérence avec les équipements régionaux (le Mésocentre de Calcul Aquitain - MCIA) et l’infrastructure nationale de Bioinformatique (Investissement d’Avenir, Institut Français de Bioinformatique - IFB).
 
Le CBiB structure ses activités autour de trois axes stratégiques:
 
1. NGS : Activité de service pour le traitement de données issues des Nouvelles Technologies de Séquençage. Cet axe est réalisé en collaboration avec la Plate-forme Génome-Transcriptome de Bordeaux, productrice des données et avec GenoToul Bioinformatique à Toulouse dans le cadre du rapprochement initié ReNaBi/IBiSA (échanges de compétences techniques, mutualisation des formations aux biologistes, missions de service et thématique R&D).
2. Génomique Comparative : activité de recherche et de service pour le stockage, l'analyse et la comparaison à grande échelle de génomes bactériens au travers de la plateforme MolliGen.
3. Métabolomique : En collaboration avec la Plate-forme Métabolomique de Bordeaux, (PMB) productrice des données, le CBiB est impliqué dans des projets de gestion de données en métabolomique avec l’extension récente de ces travaux aux données éco-physiologique. Par ailleurs, le CBiB est très fortement impliqué dans les activités de standardisation de données métabolomiques au niveau Européen (projet Européen COSMOS).
 
Le Centre de bioinformatique de Bordeaux (CBiB) fournit un accès à des ressources de calcul de haute performance, assure l'analyse des données et dispose d'une expertise en programmation. Ces ressources sont au service des scientifiques académiques et des entreprises privées pour leur permettre de répondre à leurs besoins en bioinformatique de manière efficace et rentable.



","Analyse de données de séquençage NGS
Analyse de séquences
Apprentissage automatique
Biologie des systèmes
Curation de collections de données
Ecologie
Génomique comparative
Immunogénétique
Métabolomique et fluxomique
Protéomique
"
"ATGC","Biotechnologie
Biomédical
Biologie
Agro-alimentaire
Environnement
","Algorithmique du texte et des arbres, combinatoire, optimisation, modélisation probabiliste et statistique, classification, phylogénie, séquençage haut débit, génomes, transcriptomes, protéomes, cancer, paludisme, VIH.","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Métagénomique, métatranscriptomique
Analyse de séquences
Algorithmique des séquences
Recherche de motifs
Apprentissage automatique
Extraction de connaissances
Développements technologiques de l‘Information et de la Communication
Outils
Intégration d'outils
Interopérabilité
Interfaces, portails web
Environnements de calcul
Cluster
Evolution et phylogénie
Evolution moléculaire
Gènes et génomes
Datation des spéciations
Phylogénomique
Arbre de la vie
Super-arbres et réconciliations
"
"GenAtlas","Biomédical
Biologie
","



GENATLAS, http//:www.genatlas.org       
                                                                        
GENATLAS est une base de données sur les gènes et les maladies, créée en 1986 et depuis  constamment mise à jour ; elle met à disposition de la communauté scientifique et médicale internationale des informations concernant la structure, l’expression et la fonction des gènes,  leurs mutations  et leurs conséquences  phénotypiques.
GENATLAS repose sur une architecture informatique originale  et permet une interrogation facile de trois bases de données intriquées : « gene database », « phenotype database » et une base de références bibliographiques. Les données  reposent sur une annotation des articles scientifiques qui est assurée par une veille bibliographique quotidienne (collections et bibliothèques  des Université Paris Descartes, CNRS, INSERM). GENATLAS est hébergée à l’Université Paris Descartes.
L’annotation des liens gènes- maladies mais également l’annotation des réarrangements chromosomiques et de leurs phénotypes associés donnent à GENATLAS sa spécificité et lui confère sa qualité de véritable compilation des maladies génétiques. GENATLAS s’attache aussi à développer des outils utiles aux chercheurs et aux médecins prenant en compte les  nouveaux concepts : outils pour rechercher un gène dans un intervalle donné, prédiction d’ARN messager, utilisation de thésaurus commun élaborés conjointement avec plusieurs bases de données ayant  pour intérêt commun les maladies génétiques (ORPHANET , CEMARA, GENATLAS) .
Enfin des liens réciproques sont établis avec différentes  bases données  internationales comme Swissprot, HGMD, IGMT, Genew, Genecards, et Orphanet confirmant une reconnaissance internationale   (plus de 250 000 visites sur www.genatlas.org sont enregistrées chaque année).
 


 
MiRiFixTM, http://www.mirifix.com
MiRiFixTM est un outil bioinformatique voué à la recherche et à la clinique visant à (1) promouvoir la découverte de gènes de microARNs potentiellement causals dans les maladies génétiques, et (2) identifier les microARNs qui pourraient interférer avec une condition donnée en tant que gènes modificateurs. Ce logiciel est référencé à l’Agence pour la Protection des Programmes.
 
MiRiFixTM est dédié à la communauté des généticiens, scientifiques et cliniciens, qui souhaitent faire face à la révolution de l’ARN non codant. Son positionnement unique lui confère le rôle de base de données intégrative, avec ses propres développements et un portail dynamique ouvert aux outils les plus fiables et reconnus du domaine. Par une interface facile d’utilisation, il est possible d’explorer en un-clic la localisation des microARNs par rapport aux annotations sur les gènes codant pour des protéines et le ciblage prédit d’un ARNm au niveau : (1) de SNPs, (2) du 3’UTR et (3) des exons. De plus, l’interface permet d’accéder aux méthodologies adaptées permettant de tester spécifiquement le ciblage microARN-ARNm avec une séquence normale ou mutée.
 
MiRiFixTM est distinct des autres ressources en tant qu’outil :
- dédié à la génétique humaine,
- permettant une requête directe via la localisation, le gène ou la maladie,
- fournissant une dualité d’information concernant le microARN en tant que gène candidat d’une part et gène modificateur d’autre part,
- comprenant une base de données globale de littérature annotée manuellement avec une cartographie éprouvée des maladies génétiques,
- aggrégeant 18 outils computationnels dédiés aux microARNs avec une ontologie commune facilitant un flux continu entre différents algorithmes,
- portail de liens intégrés pour évaluer les ciblages microARN-ARNm et leur validité computationnelle.



",""
"IGR","Biomédical
Biologie
","



● Bioanalyses
Conception, définition de design expérimentaux en génomique (microarrays, NGS). Analyse de données génomiques (microarray et NGS)
- Microarray :
- Gene Expression (Agilent, Affymetrix)
- CGH array
- microRNA array
- NGS (DNA-seq):
- Détection de SNP (WES, WGS, TS)
- Détection de variants structuraux (LOH, CNV)
- ChipSeq
- NGS (RNA-seq) :
- Analyse différentielle
- recherche de transcrit de fusion
- recherche de splicing alternatif
- detection de SNP par RNA-seq
 
● Conseil / Support
Elaboration de cahier des charges pour des projets de recherche à composante ""bioinformatique"" : définition du projet bioinformatique, définition des compétences requises, rédaction de fiche de poste, recrutement de bioinformaticien, estimation du coût global. La plateforme peut se positionner en partenaire du projet ou en prestataire de service.
 
● Formations
Organisation de formations généraliste en interne. Organisation de formations spécifiques, sur demande, dans les locaux des demandeurs (utilisation d’un logiciel, explication de méthodologie bioinformatique, statistiques)
 
● R&D
Développement /Maintenance de pipelines d’analyse.
Développement à facon d’outils d’annotation / de visualisation de données NGS Développement de DB de données génomiques
Participation au developpement de DB en médecine personnalisée



","Analyse de données de séquençage NGS
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyse de variants
Panels (amplicons, captures)
Exomes
Génomes complets
Analyse de la régulation de l’expression des gènes
Chip-seq
Profils de méthylation
Métagénomique, métatranscriptomique
Génomique : Puces
Biopuces ADN
CGH
Fonctionelles
Biopuces ARN
Expression
"
"MicroScope","Biomédical
Agro-alimentaire
Environnement
Biotechnologie
","Développement de méthodes et d’outils destinés à l’annotation, à la génomique et au métabolisme comparatifs de génomes bactériens.
Organisation et gestion de données génomiques et métaboliques dans des structures de bases de données.
Prédiction et analyse de réseaux et modèles métaboliques de génomes bactériens.
Analyse de données NGS : projets d’évolution (polymorphismes) et de transcriptomique (RNA-seq).
Développement d’interfaces Web conviviales pour l’utilisation des outils d’analyses et l’annotation experte (composant MaGe, Magnifying Genomes).
Service pour l’analyse de données génomiques ouvert à la communauté internationale des microbiologistes.
Formations à l’annotation, à l’analyse comparative génomique et métabolique et à l’analyse de données de transcriptomique avec l’interface graphique MaGe.
","Analyse de données de séquençage NGS
Méthodologie
Alignements de lectures sur des génomes
Génomique (DNA-seq)
Analyse de génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Génomes complets
Métagénomique, métatranscriptomique
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Apprentissage automatique
Extraction de connaissances
Intégration de données hétérogènes
Représentation des connaissances
Biologie des systèmes
Modélisation des réseaux métaboliques
Modélisation des systèmes
Curation de collections de données
Développements technologiques de l‘Information et de la Communication
Outils
Intégration d'outils
Interopérabilité
Interfaces, portails web
Développement de workflows
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Génomique comparative
Comparaison des génomes
Comparaison des voies fonctionnelles et régulatrices
"
