"Nom de la plateforme","Type d'infrastructure","Capacité de stockage utile","Nombre de CPU","Collections de données","Heure de CPU / An","Outils bioinformatiques","Nombre d'utilisateurs","Conditions d'acces","Descriptions des serveurs","Titre appui a projet","Description aide à projets","Projets accompagnés","Conditions d'appui","Projets hébergés","Publications"
"EBIO","Propriétaire","87.00 To","220 cores","7","260 400 H / an","9","50","Faire une demande de soutien sur le site web de la plate-forme
Nécessité d'appartenir à une unité mixte avec l’université Paris-Sud","Technologie ZFS, NFS.
Samba 2 hôtes de virtualisation KVM.
DB : PosgreSQL, MySQL, ZODB Galaxy.
Autres : LDAP, Salt, subvesion, trac, dhcp, FAI, tftp, ftp, zenoss, varnish.
","3 types d'appui : service, en collaboration et accès aux ressources de calcul","La modalité « service » consiste en une prise en charge totale par la plate-forme de la réalisation de l'analyse bio-informatique. Au minimum deux rencontres sont prévues avec le demandeur, la première afin d'appréhender la question posée et les données pour lesquelles il demande une expertise, et la dernière pour un rendu du travail réalisé par la plate-forme (après remise d'un document explicatif de la démarche suivie et des résultats obtenus). Si le demandeur ne fait pas partie d'une unité mixte avec l'Université Paris-Sud, les analyses sont payées selon un forfait jour/homme.
Les projets réalisés « en collaboration » nécessitent soit une participation active à l'analyse des données du biologiste soit la mise à disposition d'un CDD ou d'un stagiaire au sein de la plate-forme et co-encadré par le personnel de la plate-forme.
La modalité « accès aux ressources » implique que les biologistes lancent eux-mêmes leur analyses sur le cluster de calcul, moyennant éventuellement formation et/ou accompagnements ponctuels assurés par le personnel de la plate-forme.
Une réflexion est en cours concernant les accès moyennant finances de personnes sans rattachement à l'université Paris-Sud afin de leur proposer une offre contrainte en ressources et dans le temps.","34","Dépôt de demande de soutien sur http://ebio.u-psud.fr/eBIO_services.php","","19"
"Institut Curie","Propriétaire","2 000.00 To","2 000 cores","","1 000 000 H / an","80","1 656","","



3 web servers
3 database servers
60 computation servers



","","","","","",""
"bilille","Hébergée","76.00 To","144 cores","","","2","","Comptes créés sur demande pour les membres des laboratoires partenaires de bilille","Cloud acheté par la bilille, hébergé au Centre de Ressources Informatiques de l'Université Lille 1
- 3 noeuds à 2*12 coeurs et 256 Go de ram - Dell FC630 (2015)
- 1 noeud à 2*12 coeurs et 512 Go de ram - Dell FC630 (2015)
- 6 noeuds à 2*4 coeurs et 96 Go de ram - Dell R610 (2011)
- réseau 10 Gb/s (2015)
Les cloud vient d'être mis en place. Seules 2 VM bioinfo sont proposées pour l'instant.","","","","","",""
"ABiMS","Propriétaire","2 000.00 To","2 000 cores","","5 500 000 H / an","600","600","http://abims.sb-roscoff.fr/account","2 serveurs BDD (MysQL + PostreSQL)
1 serveur GPU
1 serveur R
10 serveurs WEB
3 serveurs Galaxy pour la production (NGS, Metabolomics et Public)
1 serveur de développement Galaxy
60 nœuds de calculs
1 serveur maître
4 serveurs NFS
","","




ABiMS proposes bioinformtics services :
- infrastructure : cluster, sotrage, tools
- training : Linux, R langage, Galaxy....
- bio-analysis : NGS, génomic, transcriptomic, métagénomic, genome annotation...
- development of databases and offers an infrastructure for the scientific calculation. The offer of bio-analysis is particularly developed.




","26","","",""
"INCa-SLC","Hébergée","400.00 To","536 cores","","20 000 H / an","10","15","","1 serveur Tomcat/MySQL (SampleTracker)","","




Mode prestation de service (financement par le demandeur) ou collaboration scientifique (pas de financement).
 
o ICGC Sein / Prostate / Carcinosarcome de l'endomètre
Projet international de séquençage de génome complets (tumeur + normal).http://www.icgc.org et http://dcc.icgc.org
o Basis Sein
Projet européen de séquençage de génome complets (tumeur + normal) de  tumeurs du sein amplifiées sur HER. http://www.basisproject.eu
o Abs4NGS
Projet PIA de développement méthodologique bioinformatique pour le NGS. https://sites.google.com/site/abs4ngs/
o Projet INCa NGS clinique.
Développements de pipelines dans le cadre du NGS clinique (ciblé) en cancérologie.
o Projets locaux dans le cadre du Lyric (http://www.cancer-­‐lyric.com/)
et/ou du Clara (http://www.canceropole-­‐clara.com/)
Projet Profiler (NGS clinique); HNPACT (NGS cancer head and neck)




","10","","10",""
"CBiB","Propriétaire","360.00 To","600 cores","","87 600 H / an","174","38","Ouverture gratuite d'un compte sur demande (formulaire à remplir).","Infrastructure de virtualisation:
Cluster Proxmox : 3 serveurs DELL PowerEdge R640 (2 CPU Xeon 4114, 20 coeurs, 256Go, stockage dédié partagé 20To)
Infrastructure de stockage:
Un stockage pour la production sur IBM Spectrum Scale, ~300To utile, IBM Spectrum Scale (ex-GPFS) composé de 2 nœuds GPFS [Dell R730] + JBOD [Dell MD3460]
Un stockage dans un site distant pour la réplication du stockage de production basé sur GlusterFS, ~400To
Un stockage pour la sauvegarde basé sur ZFS, 50To (répliquée sur un site distant)
Un système de stockage distribué. Projet MCIA-iRODS
Infrastructure de calcul:
Cluster cortex. Total de 25 nœuds de calcul, 512 cœurs, 7.2To RAM : 24 nœuds de calcul standard, Dell R630 (20 cœurs, 256 Go RAM), 1 nœud de calcul ""big memory"", Dell R630 (32 cœurs, 1To RAM), 2 nœuds de login, Dell R630 (20 cœurs, 256 Go RAM)
Portail Galaxy, 1 serveur DELL PowerEdge R910 (32 coeurs/64 threads, 128Go RAM, 800 Go d'espace disque)
Infrastructure réseau:
Accès Internet ~1 Gbits/s (partagé) fournit par l’Université de Bordeaux
LAN Intel Omni-Path (données), 100Gbit/s
LAN Ethernet, 10 Gbits/s
","","2  supporting system modes for projects: service provision or collaboration (R&D).","26","","4",""
"ATGC","Propriétaire","30.00 To","744 cores","","300 000 H / an","24","12 000","Gratuit via le site web de la PF","2 serveurs web redondants derrière un proxy.
16 noeuds de calcul.
1 serveur de disques avec NFS.
1 serveur de bases de données avec MySQL et PostGRESQL.
","Appui à projet en collaboration pour les activités NGS","L'équipe Méthodes et Algorithmes pour la Bioinformatique (MAB) du LIRMM développe des logiciels et des méthodes de traitement des données de séquençages à haut débit. Ces outils sont diffusés à la communautée via ATGC. Nous fournissons un appui à l'analyse des données NGS sous la forme de collaborations.","5","","",""
"GenAtlas","Propriétaire","","","","","","","","","","




Conception de puces pour la recherche des maladies mitochondriales MITOMAN
Conception de puces pour le diagnostique des retards mentaux de l’enfant.
Projet de recherche sur les malformations cardiaques congénitales HEARTGENOMICS




","","","",""
"IGR","Propriétaire","420.00 To","450 cores","15","","90","25","- Serveur Galaxy : Demande de compte auprès de la plate-forme. Ouvert à toute équipe exterieure à Gustave Roussy sur demande (adresse IP).
- Cluster de calcul : accessible exclusivement aux bioinformaticiens du site GR.","



- Cluster de calcul dédié à l’analyse de données de séquencage
- Serveur Galaxy
- Serveur d’applications
      - Shiny
      - Redmine
- Serveur dédié à l’analyse de données microarray



","","




1. Projets en routine :
     1.1. Périmètre : Interne
     1.2. Application : bioinformatique clinique
     1.3. Financement : Gustave Roussy.
 
2. Prestations classiques (projets courts) :
     2.1. Périmètre : National
     2.2. Applications : Analyses ponctuelles de données génomiques pour un projet ou une cohorte. Développement bioinformatique légers (","2","","58","10"
"MicroScope","Propriétaire","40.00 To","370 cores","","400 000 H / an","50","984","Accès libre","



1 serveur de stockage.
1 serveurs MySQL.
1 cluster de calcul.
1 serveur Web.
 



","","","8","","307","132"
