,"Citations","Chemin","Conditions d'accès","Contact du support de l'outil","Description","Input","License","Lien vers l'outil","Mots clés","Output","Pré-requis d'utilisation","Système d'exploitation","Type de logiciel","Téléchargements","Version du logiciel","Visites annuelles","Visites uniques","Responsable scientifique","Titre"
"mixkernel","14","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","mixKernel is freely available on CRAN. It is fully compatible with the mixOmics package and a tutorial describing the approach can be found on mixOmics web site.
",,"Kernel-based methods are powerful methods for integrating heterogeneous types of data. mixKernel aims at providing methods to combine kernel for unsupervised exploratory analysis. Different solutions are provided to compute a meta-kernel, in a consensus way or in a way that best preserves the original topology of the data. mixKernel also integrates kernel PCA to visualize similarities between samples in a non linear space and from the multiple source point of view. Functions to assess and display important variables are also provided in the package.
",,,"http://mixomics.org/mixKernel/","Intégration de données hétérogènes",,,,,,,,,"Gaspin Christine","Genotoul-bioinfo"
"Dgenies","14","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","D-GENIES is an easy-to-install, open-source software package (GPL) developed in Python and JavaScript. The source code is freely available at https://github.com/genotoul-bioinfo/dgenies and it can be tested at http://dgenies.toulouse.inra.fr/.
",,"D-GENIES is a standalone and WEB application performing large genome alignments using minimap2 software package and generating interactive dot plots. It enables users to sort query sequences along the reference , zoom in the plot and download several image, alignment or sequence files. D-GENIES is an easy to install open source software package (GPL) developed in Python and JavaScript.
",,,"http://dgenies.toulouse.inra.fr/","Analyse de génomes, Alignement (multiple) de séquences",,,,,,,"11561 an","8952 an","Gaspin Christine","Genotoul-bioinfo"
"DiNAMO","76",,"Aucune
",,"The DiNAMO software implements an exhaustive algorithm to detect over-represented IUPAC motifs in a set of DNA sequences. It has two modes: scanning mode, where all windows are parsed, or fixed-position mode, where only motifs occurring at a specific position in the sequences are taken into account.
DiNAMO can be used in a variety of applications, such as ChIP-seq peak analysis for transcription factor binding sites identification, or finding motifs that induce systematic sequencing errors.
",,,"http://bioinfo.lifl.fr/dinamo/","Analyse de séquences",,,,,,,,,"Marot Guillemette, Touzet Hélène","bilille"
"SHARP-prov-toolbox",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/pf-bio-full6.png",,,"SHARP-prov-toolbox is a tool aimed at harmonizing heterogeneous provenance graphs based on reasoning (PROV inferences). PROV Constraints inferences rules have been implemented through the JENA forward chaining inference engine.
",,,"https://github.com/albangaignard/sharp-prov-toolbox","Apprentissage automatique, Extraction de connaissances, Intégration de données hétérogènes, Web sémantique",,,,,,,,,"Redon Richard, Bourdon Jérémie","BiRD"
"Galaxy-LD",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/pf-bio-full6.png",,,"Galaxy-LD is a tool dedicated to the generation of provenance graphs (RDF, PROV-O ontology) based on Galaxy user histories. The tool is currently available through a command line interface. A web-based user interface is under active development.
",,,"https://github.com/albangaignard/galaxy-ld","Apprentissage automatique, Extraction de connaissances, Intégration de données hétérogènes, Web sémantique",,,,,,,,,"Redon Richard, Bourdon Jérémie","BiRD"
"Tedna","11","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/URGI.png","Disponible en téléchargement
 
",,"Tedna est un assembler d'éléments transposable de novo. Il permet l'assemblage des éléments transposabkles directement à partir des reads brutes.
 Zytnicki M, Akhunov E, Quesneville H: Tedna: a transposable element de novo assembler. Bioinformatics 0, 30:2656–8.
",,,"https://urgi.versailles.inra.fr/Tools/Tedna","Analyse de données de séquençage NGS",,,,,"148",,"1872 an","557 an","Adam Blondon Anne Françoise","URGI"
"Galaxy@BiRD",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/pf-bio-full6.png","L'accès à Galaxy nécessite la création d'un compte sur le cluster : http://www.pf-bird.univ-nantes.fr/07074276/0/fiche___pagelibre/&RH=14425...
 
",,"Le portail Galaxy de BiRD propose des outils pour l'analyse de données de :
séquençage NGS : analyse de variants et transcriptomique
puces à ADN
puces à protéines
 
 
",,,"https://galaxy-bird.univ-nantes.fr/galaxy/","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyse de variants, Panels (amplicons, captures), Exomes, Génomes complets, Génomique : Puces, Biopuces ARN, Expression, Protéomique, Protéomique quantitative, Analyse différentielle statistique",,,,,,,,"26 an","Redon Richard, Bourdon Jérémie","BiRD"
"MICADo",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Public.
",,"Logiciel pour la détection de mutation dans des données de séquençage PacBio issues du cancer.
",,,"https://github.com/cbib/MICADo","Analyse de données de séquençage NGS, Méthodologie, Analyse de variants",,,,,,,,,"Nikolski Macha","CBiB"
"GATB ",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Freely available.
",,"The Genome Analysis Toolbox with de-Bruijn graph (GATB) provides a set of highly efficient algorithms to analyse NGS datasets. These methods enable the analysis of data sets of any size on multi-core desktop computers, including very huge amount of reads data coming from any kind of organisms such as bacteria, plants, animals and even complex samples (e.g. metagenomes).
 
 
",,,"http://gatb.inria.fr/","Analyse de données de séquençage NGS, Méthodologie, Assemblage de génomes et transcriptomes, Alignements de lectures sur des génomes, Analyse de variants, Exomes, Génomes complets, Métagénomique, métatranscriptomique, Analyse de séquences, Algorithmique des séquences",,,,,,,,,"Nicolas Jacques","GenOuest "
"MEMHDX","1","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","MEMHDX is freely available as a web tool at http://memhdx.c3bi.pasteur.fr/
",,"MEMHDX allows users to perfom an automated workflow to analyze, validate and visualize large HDX-MS datasets. The input file is the output of DynamX software from Waters. Output files provide a plot of the data, the fitted model for each peptide, a plot of the calculated p -values, and a global visualization of the experiment. User could also obtain an overview of all peptides on the 3D structure.
ref:
Véronique Hourdel, Stevenn Volant, Darragh P. O’Brien, Alexandre Chenal, Julia Chamot-Rooke, Marie-Agnès Dillies, Sébastien Brier; MEMHDX: an interactive tool to expedite the statistical validation and visualization of large HDX-MS datasets. Bioinformatics 2016; 32 (22): 3413-3419. doi: 10.1093/bioinformatics/btw420
",,,"http://memhdx.c3bi.pasteur.fr/","Biostatistiques, Interfaces, portails web",,,,,,,"1524 an","833 an","Gascuel Olivier","DBC"
"Jvenn",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/bioinfo_logo-rvb.png","The software package is available under the GNU General Public License (GPL) and can be downloaded from the gitlab forgemia : https://forgemia.inra.fr/genotoul-bioinfo/jvenn.
",,"A javascript plugin for venn diagrams.
A demo is available here: http://bioinfo.genotoul.fr/jvenn/example.html
",,,"http://jvenn.toulouse.inra.fr/app/index.html","Interfaces, portails web",,,,,"1124",,,,"Gaspin Christine","Genotoul-bioinfo"
"Minia",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free
",,"Minia is a short-read assembler based on a de Bruijn graph, capable of assembling a human genome on a desktop computer in a day. The output of Minia is a set of contigs. Minia produces results of similar contiguity and accuracy to other de Bruijn assemblers (e.g. Velvet).
",,,"http://minia.genouest.org/","Analyse de données de séquençage NGS, Méthodologie, Assemblage de génomes et transcriptomes, Analyse de séquences, Algorithmique des séquences",,,,,,,,,"Nicolas Jacques","GenOuest "
"Aureme",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Free
",,"The toolbox AuReMe allows for the Automatic Reconstruction of Metabolic networks based on the combination
of multiple heteregeneous data and knowledge sources. Since 2016, the workflow has been made available
as a Docker image to facilitate its distribution among the scientific community
",,,"http://aureme.genouest.org/","Intégration de données hétérogènes, Biologie des systèmes, Modélisation des réseaux métaboliques, Analyse des réseaux métaboliques",,,,,,,,,"Nicolas Jacques","GenOuest "
