"Nom de la formation","Chemin","Type de formation","Cours résumé","Description","Mots clés","Date de la session","Date de la session","Conditions d'accès à la formation","Lien vers la formation","Lieu de la formation","Organisateurs","Sponsors","Nombre de personnes formées","Nombre de participants académiques","Nombre de participants non-académiques","Nombre de jours","Participation","Niveau de formation (formations universitaires uniquements)","Opérateur de la formation","Nombre de sessions","Reccurance","Taux de satisfaction des apprenants","Temps de formation","Thème (formations professionnelles uniquement)"
"Formation de base",""," Formation universitaire","","None
","","","","None
","","","","","0/ an","","","","","","","","","","0 jours / an",""
"Ateliers NGS, Master BIBS U-Psud",""," Formation universitaire","NGS - Génomique appliquée fonctionnelle","Aucune
","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants, Algorithmique des séquences","","","Inscription Université Paris-Sud
","http://www.bibs.u-psud.fr/m2_ami2b.php","U-Psud university, Orsay","","","10/ an","","","","","Master","","1","Oui","","4 jours / an","Analyse des données NGS, Analyse des données RNAseq, Linux"
"R Biostats Network",""," Formation professionnelle","","The program provides an introduction to biostatistical approaches. The principles, methodologies, uses, and applications of statistical methods in biological and clinical research will be presented. Practical trainings on computer with the R software are planned. The bases of the R programming language will be introduced and statistical approaches presented in the theoretical session will be applied.
","","","","Aucun
","","","","","25/ an","","","","","","","5","","","","Langages de Programmation & Computer Sciences"
"Introduction to data analysis with R",""," Formation professionnelle","","The program includes an introduction:
Approaches in biostatistics and research, explaining to participants the principles, methodologies, use of statistical methods and applications in biology and clinical research.
Courses on software R will be delivered in the form of additional exercises. The basis of the programming language R will be discussed and statistical approaches presented in the theoretical part will be implemented.
Application of skills acquired over a personal dataset
","","","","Aucune
","","","","","12/ an","","","","","","","5","","","","Langages de Programmation & Computer Sciences, Langage R"
"Partek Workshop",""," Formation professionnelle","","Introduction to Partek® software and the principles of RNA-seq data analysis DNA-Seq analysis and annotations with Partek® Genomics Suite® Hands on analysis in Partek® Flow® including: Data import and sample annotation, Pre and post alignment quality control, Gene and transcript quantification, Detection of differential expression using powerful gene specific modeling
","","","","Aucune
","","","","","15/ an","","","","","","","3","","","","Bioinformatique & Biomédicale"
"Ingenuiy Pathways Analysis Workshop",""," Formation professionnelle","","The User Group Meeting will consist of talks, customer case studies and interactive feedback sessions where new and existing users of QIAGEN’s Ingenuity products can learn about product updates, usability tips & tricks and best practices. Take advantage of this opportunity to engage with other users from the scientific community.
","","","","Aucune
","","","","","30/ an","","","","","","","2","","","","Bioinformatique & Biomédicale"
"InSilicoDb Analysis Training",""," Formation professionnelle","","Interrogating public and private gene expression datasets for bio-medical researchers. This workshop will you  teach about two subjects: 1- Genomics data management for the lab (efficiently store and make accessible microarray and NGS data), 2- Interrogation of your expression data and comparison and combination of your data with public data.
","","","","Aucune
","","","","","10/ an","","","","","","","10","","","","Bioinformatique & Biomédicale"
"DU ""séquençage haut débit et maladies génétiques""",""," Formation universitaire","","Acquérir une formation en séquençage nouvelle génération appliqué aux maladies génétiques mendéliennes,des technologies de séquençage et approches expérimentales possibles aux outils bio-informatiques utilisés pour le traitement des données brutes, l'identification de variations génétiques et l'interprétation des résultats. Se familiariser avec le système Unix/Linux, la ligne de commande et la gestion et l'analyse de données sur un serveur à distance. Connaître et savoir utiliser les principaux logiciels dédiés à l'analyse de données de séquençage nouvelle génération, de l'alignement des séquences brutes à l'annotation de variations génétiques. Maîtriser les principaux navigateurs, bases de données et outils de prédiction couramment utilisés en génétique humaine et médicale. Connaître les différentes applications possibles du séquençage nouvelle génération pour le diagnostic de maladies génétiques, les principales règles à suivre et paramètres à considérer pour assurer la qualité des données produites dans un contexte de laboratoire médical, et les considérations éthiques que soulève le séquençage nouvelle génération pour l'interprétation et le rendu des résultats.
","","","","Aucune
","","","","","300/ an","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","25","","","",""
"Formation Professionnelles",""," Formation professionnelle","","Séminaires et conférences invitées : 6 par an en moyenne
DIU Oncogénétique
DESC Cytogénétique
","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","","","","","","","Bioinformatique & Biomédicale"
"Formations Universitaire",""," Formation universitaire","","
Organisatrice et responsable du module « cellule épithéliale et cancer » de l’option B2PCR du M2 BCPP (Biologie Cellulaire, Physiologie et Pathologies : Université Paris 5, 11 et 12 (depuis 2010).
Cours et jury M1 et M2R Magistère Européen de Génétique – UE Génétique Moléculaire des Maladies Génétiques (depuis 2011).

","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","Master","","","","","",""
"Bioinformatique, NGS et Cancer",""," Formation professionnelle","","Co-organisation Atelier Cancéropole Ile de France « Bioinformatique, NGS et Cancer» (avril 2014 et Nov 2014)
","","","","http://www.canceropole-idf.fr/fr/ngs
","","","","","120/ an","","","","","","","20","","","","Analyse des données NGS"
